Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,16.751269,0,,,,,,
182,16.969846,11.706992,2.758139,1.062672,0.72093,1.013048,0.480961,2e-06
183,16.812779,11.585338,2.70436,1.043345,0.634416,1.003672,0.427513,2.9e-05
184,17.29048,11.627196,2.752131,0.927726,0.625183,1.032189,0.458151,6e-06
185,17.396535,11.731468,2.766058,0.942456,0.619602,1.03852,0.426954,3e-05
186,17.386576,11.662846,2.703789,1.074554,0.685656,1.037926,0.469054,4e-06
187,17.429053,11.664841,2.850953,1.001898,0.593969,1.040462,0.603617,0.0
188,16.795638,11.641763,2.789889,1.179171,0.713741,1.002649,0.541428,0.0
189,17.180335,11.66112,2.791677,1.024308,0.645337,1.025614,0.470756,3e-06
190,17.537509,11.708058,2.76204,1.055323,0.737861,1.046936,0.446819,1.1e-05
191,17.875448,11.698075,2.767185,1.07899,0.705419,1.06711,0.504323,0.0
192,17.502338,11.679888,2.747135,1.259952,0.723856,1.044837,0.454118,8e-06
193,17.634025,11.743408,2.844866,1.33931,0.802192,1.052698,0.586213,0.0
194,17.732433,11.801599,2.772641,1.208094,0.768928,1.058572,0.477449,2e-06
195,17.184714,11.662777,2.727936,1.131115,0.711444,1.025875,0.476566,2e-06
196,17.114041,11.696823,2.794212,1.122981,0.705183,1.021656,0.586774,0.0
197,17.138723,11.699365,2.751362,1.122639,0.736176,1.02313,0.505712,0.0
198,17.313759,11.701054,2.799166,1.079145,0.705209,1.033579,0.542061,0.0
199,17.050475,11.722682,2.807512,1.174647,0.890269,1.017862,0.533025,0.0
200,16.6778,11.644842,2.706476,0.98368,0.663338,0.995614,0.431168,2.5e-05
201,16.914263,11.633328,2.767775,1.043652,0.670919,1.00973,0.47558,2e-06
202,16.787731,11.643055,2.699011,1.022645,0.680204,1.002177,0.478661,2e-06
203,16.997149,11.709121,2.694823,1.022271,0.662937,1.014678,0.44561,1.2e-05
204,16.876177,11.680666,2.784423,1.141605,0.761065,1.007457,0.443474,1.3e-05
205,17.00519,11.726276,2.695376,1.071099,0.709764,1.015158,0.476811,2e-06
206,17.508883,11.716944,2.687447,1.048279,0.658683,1.045227,0.43143,2.4e-05
207,17.920609,11.75405,2.776497,1.16074,0.711931,1.069806,0.560045,0.0
208,17.875377,11.627647,2.747067,1.253326,0.757952,1.067106,0.604628,0.0
209,17.342899,11.685022,2.754807,1.120156,0.769149,1.035318,0.437254,1.8e-05
210,17.189025,11.620553,2.717478,1.130917,0.668414,1.026133,0.511886,0.0
211,16.885389,11.574298,2.772429,1.012946,0.64368,1.008007,0.534238,0.0
212,17.009769,11.639708,2.770207,1.089821,0.659675,1.015432,0.54864,0.0
213,16.895522,11.629502,2.672085,1.184227,0.732264,1.008611,0.395806,0.000123
214,16.869808,11.561041,2.721115,1.141914,0.657384,1.007076,0.563476,0.0
215,16.980029,11.672506,2.710542,1.165764,0.744341,1.013656,0.561612,0.0
216,17.264078,11.634905,2.754139,1.157396,0.801472,1.030613,0.47639,2e-06
217,16.840438,11.563895,2.703804,1.023914,0.748402,1.005323,0.475004,3e-06
218,17.166832,11.660282,2.624562,1.096443,0.761976,1.024808,0.327892,0.001708
219,17.407985,11.646566,2.714196,0.987672,0.661887,1.039204,0.414288,5.4e-05
220,17.11172,11.683721,2.705099,0.912683,0.668991,1.021518,0.377565,0.000265
221,16.918198,11.610399,2.730714,1.089859,0.700092,1.009965,0.403517,8.8e-05
222,17.052299,11.627365,2.677653,1.130767,0.739165,1.017971,0.441808,1.5e-05
223,17.340205,11.65073,2.668627,1.14494,0.717481,1.035158,0.371061,0.000344
224,17.43644,11.593045,2.714214,1.045222,0.682847,1.040903,0.456193,7e-06
225,16.648104,11.602349,2.717517,0.932816,0.634871,0.993841,0.453589,8e-06
226,16.882272,11.611556,2.652187,1.029649,0.724083,1.00782,0.459622,6e-06
227,16.967575,11.652608,2.613455,0.973575,0.648716,1.012913,0.392922,0.00014
228,16.867406,11.603297,2.674011,0.985262,0.671515,1.006933,0.349891,0.000776
229,17.328614,11.626745,2.683769,1.116125,0.646138,1.034466,0.469911,3e-06
230,17.108772,11.655348,2.680871,1.10487,0.732596,1.021342,0.495049,1e-06
231,16.995184,11.543038,2.723721,0.902115,0.605247,1.014561,0.426739,3e-05
232,16.746979,11.593751,2.761702,0.994984,0.646471,0.999744,0.501035,1e-06
233,17.059604,11.544155,2.723435,0.971121,0.683796,1.018407,0.371375,0.00034
234,16.946899,11.636684,2.731012,1.270162,0.811527,1.011678,0.553349,0.0
235,17.143795,11.644133,2.741159,0.944389,0.491709,1.023433,0.528188,0.0
236,16.805886,11.59192,2.73185,0.978465,0.762252,1.00326,0.410051,6.6e-05
237,16.938295,11.503094,2.707302,0.79895,0.530789,1.011165,0.448651,1e-05
238,16.859076,11.612663,2.749934,0.846963,0.63913,1.006436,0.368277,0.000384
239,17.16669,11.661831,2.735242,0.980503,0.721759,1.024799,0.426128,3.1e-05
240,16.994028,11.670253,2.73488,0.9002,0.636068,1.014492,0.460376,6e-06
241,17.149931,11.64686,2.787973,0.904108,0.644765,1.023799,0.547066,0.0
242,17.2292,11.585398,2.701976,0.781113,0.505357,1.028531,0.372337,0.000327
243,17.044261,11.531053,2.647212,0.847506,0.512664,1.017491,0.340971,0.001076
244,17.332695,11.587493,2.670974,0.955794,0.604127,1.034709,0.385605,0.00019
245,17.245357,11.61877,2.73735,0.999839,0.653626,1.029496,0.412563,5.9e-05
246,17.068254,11.585132,2.75583,0.758784,0.522201,1.018923,0.444592,1.3e-05
247,17.178727,11.603862,2.777457,0.939539,0.636195,1.025518,0.489972,1e-06
248,17.329915,11.71446,2.710925,0.942777,0.581397,1.034543,0.363392,0.000465
249,17.384501,11.608807,2.749432,0.966641,0.590986,1.037802,0.455701,7e-06
250,17.29222,11.565137,2.760887,0.959494,0.678934,1.032293,0.448018,1.1e-05
251,16.836961,11.548107,2.683088,0.983394,0.627708,1.005116,0.395041,0.000128
252,16.789029,11.567983,2.742126,0.963954,0.66057,1.002254,0.404039,8.6e-05
253,17.007435,11.594957,2.736646,0.933149,0.682718,1.015292,0.372569,0.000324
254,16.939625,11.531594,2.706968,0.907922,0.570747,1.011244,0.479452,2e-06
255,16.846974,11.569014,2.714945,0.962384,0.662496,1.005713,0.520307,0.0
256,16.969461,11.59795,2.732061,0.989481,0.695703,1.013025,0.45946,6e-06
257,16.615979,11.529363,2.744819,0.960497,0.696416,0.991924,0.506456,0.0
258,16.87306,11.587016,2.742706,0.863501,0.627479,1.007271,0.404594,8.4e-05
259,16.416781,11.469744,2.653395,0.851514,0.570336,0.980032,0.412187,6e-05
260,16.811471,11.571196,2.777198,0.980734,0.643924,1.003594,0.547611,0.0
261,16.84561,11.560154,2.766134,0.962247,0.61437,1.005632,0.492103,1e-06
262,16.768039,11.52932,2.632087,0.989727,0.571565,1.001001,0.439247,1.7e-05
263,17.067375,11.657516,2.73278,0.90429,0.537165,1.018871,0.450328,1e-05
264,16.9115,11.599284,2.709832,0.73608,0.497594,1.009565,0.383313,0.000209
265,17.075308,11.616955,2.73276,0.954754,0.531077,1.019344,0.358892,0.000553
266,17.051387,11.584721,2.674417,0.970704,0.549682,1.017916,0.315245,0.00262
267,16.919507,11.618049,2.771404,1.034358,0.635268,1.010043,0.43422,2.1e-05
268,16.772719,11.576716,2.711463,0.982182,0.673316,1.00128,0.355167,0.000637
269,16.648632,11.542547,2.710181,1.00339,0.719022,0.993873,0.406466,7.7e-05
270,16.934134,11.645109,2.733221,1.061437,0.580371,1.010916,0.432879,2.3e-05
271,16.569013,11.602585,2.687064,0.910356,0.648019,0.98912,0.441546,1.5e-05
272,17.192806,11.744898,2.698534,0.997273,0.740098,1.026358,0.379453,0.000245
273,16.790801,11.605383,2.746343,1.006197,0.648827,1.00236,0.487127,1e-06
274,16.657301,11.572531,2.748465,0.862435,0.553939,0.99439,0.491837,1e-06
275,16.376195,11.543371,2.679609,0.785935,0.472397,0.977609,0.531319,0.0
276,16.707415,11.574491,2.713562,0.886553,0.592972,0.997382,0.362698,0.000478
277,16.748444,11.522626,2.68438,0.852713,0.547036,0.999831,0.309444,0.003169
278,16.84653,11.547867,2.642434,0.857501,0.49702,1.005687,0.472009,3e-06
