Conf,Rayon Giration,Distance,ecart-type Distance,RMSD,ecart-type RMSD,Ratio Giration,Correlation,p-value Correlation
REF,17.447989,0,,,,,,
126,17.774869,11.652487,3.164597,1.306897,0.879151,1.018735,0.483809,2e-06
127,18.108484,11.672337,3.224302,1.326536,0.875612,1.037855,0.465325,4e-06
128,17.924393,11.702393,3.114154,1.208396,0.828503,1.027304,0.378871,0.000251
129,17.577363,11.718306,3.148288,1.193254,0.850858,1.007415,0.356915,0.000596
130,17.632337,11.73797,3.202337,1.307227,0.899098,1.010566,0.475929,2e-06
131,17.823857,11.723434,3.173293,1.264352,0.858094,1.021542,0.496336,1e-06
132,17.913918,11.747691,3.178386,1.228372,0.894841,1.026704,0.489678,1e-06
133,17.648326,11.759722,3.211582,1.353569,0.859579,1.011482,0.450076,1e-05
134,18.405854,11.72331,3.186553,1.223102,0.870538,1.054898,0.476744,2e-06
135,18.075911,11.735272,3.203074,1.228271,0.823141,1.035988,0.423898,3.5e-05
136,18.213923,11.774517,3.217074,1.311347,0.930207,1.043898,0.39399,0.000133
137,18.12611,11.702384,3.1316,1.368182,0.912914,1.038865,0.440091,1.6e-05
138,18.524613,11.739629,3.1806,1.407423,1.037174,1.061705,0.416576,4.9e-05
139,17.820719,11.659499,3.152008,1.302765,0.956723,1.021362,0.423061,3.6e-05
140,18.283691,11.70119,3.191255,1.112655,0.766431,1.047897,0.365745,0.000424
141,18.197933,11.76245,3.243124,1.40713,0.976548,1.042982,0.475206,3e-06
142,18.126115,11.683032,3.179662,1.157,0.906777,1.038866,0.42198,3.8e-05
143,17.946389,11.757962,3.236323,1.269715,0.913991,1.028565,0.461407,5e-06
144,18.134906,11.782672,3.207131,1.227682,0.907228,1.039369,0.414446,5.4e-05
145,18.412669,11.800885,3.221296,1.355751,0.945243,1.055289,0.500388,1e-06
146,18.125143,11.738904,3.210118,1.204677,0.892987,1.03881,0.455049,7e-06
147,18.148655,11.797946,3.14743,1.340925,0.888066,1.040157,0.406939,7.6e-05
148,18.284967,11.700052,3.196848,1.235806,0.898033,1.04797,0.445983,1.2e-05
149,18.30655,11.726934,3.236313,1.080987,0.810945,1.049207,0.410422,6.5e-05
150,18.228665,11.742949,3.219597,1.194073,0.848847,1.044743,0.443274,1.4e-05
151,18.270886,11.74229,3.238729,1.199219,0.859833,1.047163,0.466267,4e-06
152,17.954429,11.734591,3.238808,1.268287,0.808676,1.029026,0.440375,1.6e-05
153,18.185996,11.669131,3.219267,1.299069,0.822158,1.042298,0.48163,2e-06
154,18.417991,11.764667,3.238152,1.435611,0.976744,1.055594,0.507645,0.0
155,18.167976,11.713694,3.218982,1.191064,0.819656,1.041265,0.508721,0.0
156,18.432915,11.784674,3.254051,1.328254,0.803108,1.056449,0.569383,0.0
157,18.611202,11.688705,3.220932,1.19482,0.845746,1.066667,0.46764,4e-06
158,18.049236,11.711761,3.200015,1.214613,0.869165,1.034459,0.502326,1e-06
159,18.314939,11.761423,3.199735,1.276228,0.852377,1.049688,0.456988,7e-06
160,18.177781,11.869361,3.317251,1.311768,0.979767,1.041827,0.474367,3e-06
161,18.535253,11.671396,3.235357,1.305341,0.804954,1.062315,0.430477,2.5e-05
162,17.788689,11.773076,3.183549,1.323302,0.802514,1.019527,0.413949,5.5e-05
163,18.056124,11.680539,3.165603,1.256575,0.917971,1.034854,0.463421,5e-06
164,18.002975,11.765498,3.152536,1.253907,0.833921,1.031808,0.493041,1e-06
165,18.289283,11.811643,3.208493,1.303306,0.822001,1.048217,0.459732,6e-06
166,17.922634,11.748013,3.180842,1.385783,0.772428,1.027203,0.533691,0.0
167,18.464081,11.720853,3.135484,1.276041,0.747796,1.058236,0.518667,0.0
168,18.097144,11.716101,3.154871,1.233863,0.914388,1.037205,0.488908,1e-06
169,18.158476,11.76221,3.199154,1.322321,0.859254,1.04072,0.493229,1e-06
170,18.670793,11.761184,3.183941,1.389174,0.942478,1.070083,0.405385,8.1e-05
171,18.343436,11.729198,3.172641,1.344427,0.860176,1.051321,0.431831,2.4e-05
172,18.174645,11.725277,3.170479,1.304575,0.81835,1.041647,0.483521,2e-06
173,17.876992,11.6912,3.11662,1.508025,0.95523,1.024588,0.511021,0.0
174,17.761252,11.750849,3.161152,1.413745,0.870376,1.017954,0.524877,0.0
175,18.017225,11.746773,3.166305,1.374784,0.874135,1.032625,0.529549,0.0
176,17.843485,11.677728,3.214395,1.265965,0.810722,1.022667,0.519064,0.0
177,18.304379,11.712147,3.216003,1.104815,0.756396,1.049082,0.507124,0.0
178,18.490003,11.780513,3.234189,1.228969,0.766559,1.059721,0.468271,4e-06
179,18.180979,11.72064,3.219085,1.397773,0.868207,1.04201,0.501365,1e-06
180,18.451757,11.789223,3.215049,1.285128,0.843137,1.057529,0.487318,1e-06
181,18.193631,11.778034,3.209075,1.151566,0.774633,1.042735,0.433741,2.2e-05
182,18.125454,11.746047,3.224057,1.261118,0.913781,1.038828,0.514144,0.0
183,17.955614,11.67206,3.153818,1.251578,0.794727,1.029094,0.477264,2e-06
184,18.576517,11.673905,3.195953,1.166578,0.780961,1.06468,0.461497,5e-06
185,18.314953,11.790155,3.201595,1.161471,0.745223,1.049688,0.42486,3.3e-05
186,18.111187,11.705842,3.148806,1.287827,0.878931,1.03801,0.456447,7e-06
187,18.594823,11.725716,3.241565,1.217543,0.784495,1.065729,0.59855,0.0
188,18.318025,11.686521,3.191713,1.374486,0.865955,1.049865,0.539096,0.0
189,18.613034,11.724329,3.18972,1.238961,0.76975,1.066772,0.450167,1e-05
190,18.136244,11.761743,3.192002,1.219531,0.86401,1.039446,0.466596,4e-06
191,17.934421,11.739929,3.178355,1.24966,0.804579,1.027879,0.490819,1e-06
192,18.299353,11.748225,3.188273,1.450266,0.85697,1.048794,0.476587,2e-06
193,18.135321,11.790054,3.273861,1.531477,0.92525,1.039393,0.561335,0.0
194,18.0243,11.832986,3.221791,1.404568,0.905324,1.03303,0.471868,3e-06
195,17.86133,11.714739,3.16679,1.367458,0.859188,1.02369,0.480818,2e-06
196,18.665195,11.765833,3.217767,1.353956,0.820251,1.069762,0.526943,0.0
197,18.056025,11.740568,3.194846,1.352327,0.919696,1.034849,0.480111,2e-06
198,18.409067,11.739488,3.222104,1.287205,0.847381,1.055082,0.49822,1e-06
199,18.153308,11.76643,3.240584,1.347079,1.030343,1.040424,0.473028,3e-06
200,17.703097,11.704162,3.171233,1.173638,0.844416,1.014621,0.444783,1.3e-05
201,17.831538,11.663556,3.200534,1.26076,0.803198,1.021982,0.443153,1.4e-05
202,18.030621,11.681597,3.158284,1.191034,0.794299,1.033393,0.473452,3e-06
203,18.20752,11.777062,3.143649,1.220704,0.80487,1.043531,0.375159,0.000292
204,17.734092,11.732113,3.222229,1.315222,0.895151,1.016397,0.406973,7.6e-05
205,17.593628,11.749462,3.128457,1.250614,0.846648,1.008347,0.427511,2.9e-05
206,18.112847,11.775692,3.140192,1.231095,0.83046,1.038105,0.416486,4.9e-05
207,18.249881,11.80341,3.215536,1.381568,0.862176,1.045959,0.520923,0.0
208,17.903156,11.684557,3.159894,1.446875,0.969203,1.026087,0.567679,0.0
209,18.246486,11.754946,3.18241,1.358407,0.904191,1.045764,0.437909,1.8e-05
210,18.111252,11.691627,3.186724,1.384835,0.898666,1.038014,0.516429,0.0
211,17.99072,11.640949,3.199034,1.245117,0.866778,1.031106,0.465656,4e-06
212,17.806781,11.680083,3.241287,1.317972,0.86218,1.020564,0.460492,6e-06
213,17.511663,11.674126,3.149501,1.37256,0.965478,1.003649,0.366339,0.000414
214,18.027307,11.622795,3.187594,1.366031,0.855315,1.033203,0.565036,0.0
215,18.10778,11.700644,3.177191,1.400432,0.92274,1.037815,0.535806,0.0
216,17.794454,11.666712,3.194648,1.411752,0.950233,1.019857,0.438034,1.8e-05
217,18.174458,11.613069,3.168818,1.243265,0.918324,1.041636,0.468996,4e-06
218,18.246932,11.738839,3.110974,1.287641,0.882395,1.04579,0.28074,0.007702
219,17.963207,11.685066,3.199358,1.232358,0.833376,1.029529,0.409661,6.7e-05
220,18.011355,11.736956,3.168258,1.180856,0.843185,1.032288,0.336502,0.001263
221,18.385048,11.657547,3.198672,1.343983,0.896315,1.053706,0.406083,7.9e-05
222,18.231821,11.656185,3.165884,1.354344,0.942077,1.044924,0.430513,2.5e-05
223,17.96731,11.702194,3.130473,1.358084,0.915496,1.029764,0.381904,0.000222
