Conformation	|	Rayon Giration	|	RMSD	(+/- ecart-type)
	REF			|		16.7513		|	0.0
	158			|		18.0421	|	1.5353	(+/-0.8205)
	159			|		18.3639	|	1.4945	(+/-0.838)
	160			|		17.9198	|	1.3472	(+/-0.679)
	161			|		17.598	|	1.2566	(+/-0.7157)
	162			|		18.3232	|	1.449	(+/-0.8538)
	163			|		17.5994	|	1.2484	(+/-0.6795)
	164			|		17.7914	|	1.2016	(+/-0.6863)
	165			|		18.1941	|	1.5017	(+/-0.8569)
	166			|		17.8238	|	1.3189	(+/-0.757)
	167			|		17.5545	|	1.3564	(+/-0.6794)
	168			|		17.7749	|	1.4187	(+/-0.8096)
	169			|		18.1225	|	1.3166	(+/-0.7372)
	170			|		18.0304	|	1.3408	(+/-0.7288)
	171			|		18.4515	|	1.7631	(+/-1.1182)
	172			|		18.2815	|	1.3113	(+/-0.7114)
	173			|		17.6446	|	1.46	(+/-0.8635)
	174			|		17.4203	|	1.3348	(+/-0.8736)
	175			|		18.3675	|	1.4361	(+/-0.9271)
	176			|		17.6686	|	1.4317	(+/-0.799)
	177			|		17.4947	|	1.3829	(+/-0.8683)
	178			|		18.124	|	1.5096	(+/-1.03)
	179			|		18.1983	|	1.4339	(+/-0.9657)
	180			|		17.7024	|	1.2225	(+/-0.8387)
	181			|		18.0815	|	1.4792	(+/-0.8727)
	182			|		17.6586	|	1.2641	(+/-0.8247)
	183			|		16.6426	|	1.1559	(+/-0.5637)
	184			|		17.0512	|	1.3523	(+/-0.8871)
	185			|		17.7936	|	1.4782	(+/-0.9313)
	186			|		17.5632	|	1.2199	(+/-0.6745)
	187			|		17.1286	|	1.2871	(+/-0.7553)
	188			|		17.4801	|	1.2999	(+/-0.9115)
	189			|		17.6163	|	1.4301	(+/-0.8103)
	190			|		18.0226	|	1.3336	(+/-0.9272)
	191			|		18.055	|	1.6156	(+/-0.9856)
	192			|		17.577	|	1.3871	(+/-0.8663)
	193			|		16.9896	|	1.1207	(+/-0.7034)
	194			|		17.3428	|	1.4384	(+/-0.8991)
	195			|		17.0457	|	1.5154	(+/-0.8791)
	196			|		16.5973	|	1.3307	(+/-0.7475)
	197			|		17.0468	|	1.1574	(+/-0.7547)
	198			|		17.1233	|	1.3686	(+/-0.8434)
	199			|		17.4188	|	1.2413	(+/-0.8087)
	200			|		17.5794	|	1.2534	(+/-0.7856)
