Conf|	Rayon Giration	|	Distance		|		RMSD		|	Ratio Giration	|	Correlation	(p-value)
REF	|	16.75127		|			0
80	|	17.23534		|	11.69909	(+/-2.79135)	|	1.13118	(+/-0.74042)	|	1.0289		|	0.61019	(0.0)
81	|	17.34284		|	11.63294	(+/-2.7407)	|	1.12679	(+/-0.73353)	|	1.03532		|	0.51425	(0.0)
82	|	16.98551		|	11.71081	(+/-2.71582)	|	1.16226	(+/-0.76686)	|	1.01398		|	0.40193	(9e-05)
83	|	17.56606		|	11.6141	(+/-2.73446)	|	0.97188	(+/-0.71045)	|	1.04864		|	0.52771	(0.0)
84	|	17.01862		|	11.57913	(+/-2.73823)	|	0.93292	(+/-0.68531)	|	1.01596		|	0.48044	(0.0)
85	|	17.06569		|	11.56032	(+/-2.82418)	|	0.99638	(+/-0.60429)	|	1.01877		|	0.45507	(1e-05)
86	|	16.80892		|	11.57851	(+/-2.77609)	|	0.94217	(+/-0.57519)	|	1.00344		|	0.47457	(0.0)
87	|	17.05674		|	11.64539	(+/-2.77181)	|	1.03033	(+/-0.62307)	|	1.01824		|	0.47484	(0.0)
88	|	17.0346		|	11.56229	(+/-2.7916)	|	0.89481	(+/-0.56304)	|	1.01691		|	0.46584	(0.0)
89	|	17.30693		|	11.61182	(+/-2.79974)	|	1.03947	(+/-0.57389)	|	1.03317		|	0.46407	(0.0)
90	|	17.34227		|	11.57077	(+/-2.77728)	|	1.03167	(+/-0.62873)	|	1.03528		|	0.50194	(0.0)
91	|	17.01166		|	11.64143	(+/-2.86762)	|	1.0017	(+/-0.6572)	|	1.01554		|	0.52322	(0.0)
92	|	17.35061		|	11.60382	(+/-2.73198)	|	1.04351	(+/-0.71343)	|	1.03578		|	0.56851	(0.0)
93	|	17.00545		|	11.59907	(+/-2.71607)	|	1.06874	(+/-0.73731)	|	1.01517		|	0.4531	(1e-05)
94	|	17.14162		|	11.62742	(+/-2.84671)	|	1.02404	(+/-0.73118)	|	1.0233		|	0.56406	(0.0)
95	|	17.71936		|	11.67039	(+/-2.68315)	|	1.14191	(+/-0.767)	|	1.05779		|	0.46517	(0.0)
96	|	17.15007		|	11.62033	(+/-2.70913)	|	1.11992	(+/-0.76073)	|	1.02381		|	0.4808	(0.0)
